
  STNR     EAST    NORTH      LON      LAT YEAR         MONTH  DAY     RR_1
 68170   272030  7040801  10.4303  63.4225 1967         12     03       1.2
 68170   272030  7040801  10.4303  63.4225 1967         12     04        .2
 68170   272030  7040801  10.4303  63.4225 1967         12     04        .4
 68170   272030  7040801  10.4303  63.4225 1967         12     04        .6
 68170   272030  7040801  10.4303  63.4225 1967         12     04        .8
 68170   272030  7040801  10.4303  63.4225 1967         12     04       1.6
 68170   272030  7040801  10.4303  63.4225 1967         12     04       1.8
 68170   272030  7040801  10.4303  63.4225 1967         12     05        .2
 68170   272030  7040801  10.4303  63.4225 1967         12     05        .4
 68170   272030  7040801  10.4303  63.4225 1967         12     05        .8
 68170   272030  7040801  10.4303  63.4225 1968         04     21        .2
 68170   272030  7040801  10.4303  63.4225 1968         04     21        .6
 68170   272030  7040801  10.4303  63.4225 1968         04     23        .2
 68170   272030  7040801  10.4303  63.4225 1968         04     23        .4
 68170   272030  7040801  10.4303  63.4225 1968         04     24        .2
 68170   272030  7040801  10.4303  63.4225 1968         04     24        .4
 68170   272030  7040801  10.4303  63.4225 1968         04     24        .6
 68170   272030  7040801  10.4303  63.4225 1968         04     25        .2
 68170   272030  7040801  10.4303  63.4225 1968         04     26        .4
 68170   272030  7040801  10.4303  63.4225 1968         04     26       1.2
 68170   272030  7040801  10.4303  63.4225 1968         04     26       1.4
 68170   272030  7040801  10.4303  63.4225 1968         04     26       1.6
 68170   272030  7040801  10.4303  63.4225 1968         04     26       2.8
 68170   272030  7040801  10.4303  63.4225 1968         05     01        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     01        .4
 68170   272030  7040801  10.4303  63.4225 1968         05     03        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     03        .4
 68170   272030  7040801  10.4303  63.4225 1968         05     03        .6
 68170   272030  7040801  10.4303  63.4225 1968         05     05        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     05        .4
 68170   272030  7040801  10.4303  63.4225 1968         05     05        .6
 68170   272030  7040801  10.4303  63.4225 1968         05     06        .4
 68170   272030  7040801  10.4303  63.4225 1968         05     07        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     08        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     12        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     13        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     13        .4
 68170   272030  7040801  10.4303  63.4225 1968         05     14        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     14        .4
 68170   272030  7040801  10.4303  63.4225 1968         05     14        .6
 68170   272030  7040801  10.4303  63.4225 1968         05     14        .8
 68170   272030  7040801  10.4303  63.4225 1968         05     14       1.6
 68170   272030  7040801  10.4303  63.4225 1968         05     14       1.8
 68170   272030  7040801  10.4303  63.4225 1968         05     15        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     15        .4
 68170   272030  7040801  10.4303  63.4225 1968         05     21        .2
 68170   272030  7040801  10.4303  63.4225 1968         05     21        .4
 68170   272030  7040801  10.4303  63.4225 1968         05     21        .8
 68170   272030  7040801  10.4303  63.4225 1968         06     06        .2
 68170   272030  7040801  10.4303  63.4225 1968         06     06        .4
 68170   272030  7040801  10.4303  63.4225 1968         06     06        .6
 68170   272030  7040801  10.4303  63.4225 1968         06     06        .8
 68170   272030  7040801  10.4303  63.4225 1968         06     06       1.0
 68170   272030  7040801  10.4303  63.4225 1968         06     06       1.8
 68170   272030  7040801  10.4303  63.4225 1968         06     07        .4
 68170   272030  7040801  10.4303  63.4225 1968         06     08        .2
 68170   272030  7040801  10.4303  63.4225 1968         06     09        .2
 68170   272030  7040801  10.4303  63.4225 1968         06     19        .2
 68170   272030  7040801  10.4303  63.4225 1968         06     19        .6
 68170   272030  7040801  10.4303  63.4225 1968         06     19       1.2
 68170   272030  7040801  10.4303  63.4225 1968         06     21        .2
 68170   272030  7040801  10.4303  63.4225 1968         06     21        .4
 68170   272030  7040801  10.4303  63.4225 1968         06     23        .2
 68170   272030  7040801  10.4303  63.4225 1968         06     24        .2
 68170   272030  7040801  10.4303  63.4225 1968         06     24       3.8
 68170   272030  7040801  10.4303  63.4225 1968         06     25        .8
 68170   272030  7040801  10.4303  63.4225 1968         06     26        .2
